Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.6653696498054474	171	38867521|33833854|39599668|32003254|39217884|33169745|39319534|38695125|37943572|34777685|35887281|34855756|33989507|32191437|33268698|37569659|39020536|34404442|39771038|40076528|35012432|36563736|32440102|38611766|36518039|38971106|38733647|40009345|39038574|32124251|32145326|39441022|32988837|38194722|38856914|35961266|40020461|36531454|36032081|32514515|36989902|36173057|31958453|32361653|39836890|40032006|38366885|39311920|36430716|40215820|35362392|35670084|39388890|33197425|36084724|39388895|35241691|32768583|39665739|36513319|39094365|32600700|37935202|37429263|39125316|38008705|38718660|35163488|32640693|32839804|39408351|33096010|32349389|35733035|38383379|33878544|32450530|33684536|38472616|36096945|33757298|34893958|38786602|39321708|32722615|34514937|35994920|32417162|36264388|33517187|34468900|34704529|33039536|38961031|39276449|37979636|35088882|32581510|36423791|32860098|37994991|36357655|35820500|34546477|36747264|38608493|38613068|37199381|39914283|38749179|34502142|32004526|39416781|32549254|34718343|37079558|38569708|39904754|38892583|39116493|32745911|36037785|39684628|38594710|33063931|36046906|33144571|32059502|35291041|34360771|37690040|36102306|38814416|32634440|39766343|35770468|34237707|37028460|32764881|39251394|39159565|32009245|38856915|32474881|34856202|34777686|34275794|38636375|33155655|32801641|32582961|36045373|31926089|31889132|36542696|36427299|36235621|38832987|39982764|38673854|36942811|36138477|36286687|39362609|35164664|32047580|32635404|37770671|33241814|36056701|37167638
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.041666666666666664	12	36195078|33818867|33096812|35306879|36677929|35666137|32794246|38382264|33114764|39440508|32134136|36872031
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.02697495183044316	14	35057811|39940649|32866785|40195473|37938371|37916332|32723437|38474838|37694798|38806104|33125972|35822682|37548663|32496008
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.019851116625310174	8	36142208|38132938|39216953|34649531|37866726|33998627|39490596|32590318
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.018404907975460124	6	33881683|31937359|34445685|40141223|32180294|36093067
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.016819571865443424	11	37606025|39143134|35818211|33361019|38200400|37834419|33312069|32602381|36598130|34964259|32323772
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.010510510510510511	7	38158998|37241101|39853559|38574619|39936984|38640717|32323952
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.009985734664764621	7	34515572|32601400|39434543|32575510|36555578|38173231|31938894
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 18: Unraveling the Molecular Interplay of Î² Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.007952286282306162	4	35303234|37935204|33878143|32472364
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.00782472613458529	5	33543180|34576225|32840387|36592706|35580540
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1	37957813
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.0055248618784530384	1	37962646
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1	37533852
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.004201680672268907	2	36394597|38500177
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1	32740982
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1	38396803
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.0028011204481792717	1	32305527
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.0024630541871921183	1	38997070
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.0021551724137931034	1	37871928
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0020920502092050207	1	34959882
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0018552875695732839	1	32858499
COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.001447178002894356	1	39528346
