Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.44862518089725034	310
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.28761061946902655	130
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.27071823204419887	49
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.08064516129032258	15
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.04150943396226415	11
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.02584493041749503	13
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.021406727828746176	14
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.019971469329529243	14
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.018907563025210083	9
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.018404907975460124	6
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.017361111111111112	5
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.017341040462427744	9
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.017214397496087636	11
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.014778325123152709	6
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.013513513513513514	9
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.011204481792717087	4
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.008645533141210375	3
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.008620689655172414	4
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.006493506493506494	2
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.006230529595015576	2
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.004464285714285714	2
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.0033444816053511705	1
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0025575447570332483	1
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.002352941176470588	1
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0020920502092050207	1
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.0019550342130987292	2
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0018552875695732839	1
